,avg_memory_usage,iteration,max_cpu_usage,max_memory_usage,normalized_test,test_time,time_taken
0,8449277819.586206,0,464975485335,8917860352,944.387552394749,0.4941481351852417,466.66734790802
1,8428623938.637744,1,461785532230,8917897216,865.569302716728,0.5346920490264893,462.81302404403687
2,8435426681.028322,2,460265018540,8917786624,951.8239622008045,0.4846686124801636,461.3191990852356
3,6881131862.8077755,3,464305853819,8918376448,928.7158621001189,0.5014055967330933,465.6633310317993
4,8450730841.709402,4,469409699053,8917856256,950.9396993465941,0.495150089263916,470.8578770160675
5,8435342035.862069,5,464702854505,8917852160,975.7848062633492,0.4773130416870117,465.75481390953064
6,8432492294.678261,6,461334105210,8917811200,989.1841988767688,0.4674844741821289,462.42825508117676
7,6878431905.800866,7,464172566317,8918429696,945.8613618539774,0.49234163761138916,465.686931848526
8,8443566713.491526,8,472925707847,8917917696,963.6697411571088,0.4925549030303955,474.66025590896606
9,8450210316.111828,9,466375073918,8917782528,995.2175521363449,0.47024548053741455,467.9965560436249
